# Inputfile where all used particles will be stored.
# Similar syntax to "eingabe-sonne.txt" with the exeption that after the number of particles
# there have to follow the exact quantity of spaces so that the number of chars in the line
# adds up to 32 (not counting the "\n" at the end)
100000                          
0.6 0.6 0.6 0 0 0 1 1 1.2 1 0
0.6 0.6 1.8 0 0 0 1 1 1.2 1 0
0.6 0.6 3 0 0 0 1 1 1.2 1 0
0.6 0.6 4.2 0 0 0 1 1 1.2 1 0
0.6 0.6 5.4 0 0 0 1 1 1.2 1 0
0.6 0.6 6.6 0 0 0 1 1 1.2 1 0
0.6 0.6 7.8 0 0 0 1 1 1.2 1 0
0.6 0.6 9 0 0 0 1 1 1.2 1 0
0.6 0.6 10.2 0 0 0 1 1 1.2 1 0
0.6 0.6 11.4 0 0 0 1 1 1.2 1 0
0.6 0.6 12.6 0 0 0 1 1 1.2 1 0
0.6 0.6 13.8 0 0 0 1 1 1.2 1 0
0.6 0.6 15 0 0 0 1 1 1.2 1 0
0.6 0.6 16.2 0 0 0 1 1 1.2 1 0
0.6 0.6 17.4 0 0 0 1 1 1.2 1 0
0.6 0.6 18.6 0 0 0 1 1 1.2 1 0
0.6 0.6 19.8 0 0 0 1 1 1.2 1 0
0.6 0.6 21 0 0 0 1 1 1.2 1 0
0.6 0.6 22.2 0 0 0 1 1 1.2 1 0
0.6 0.6 23.4 0 0 0 1 1 1.2 1 0
0.6 0.6 24.6 0 0 0 1 1 1.2 1 0
0.6 0.6 25.8 0 0 0 1 1 1.2 1 0
0.6 0.6 27 0 0 0 1 1 1.2 1 0
0.6 0.6 28.2 0 0 0 1 1 1.2 1 0
0.6 0.6 29.4 0 0 0 1 1 1.2 1 0
0.6 0.6 30.6 0 0 0 1 1 1.2 1 0
0.6 0.6 31.8 0 0 0 1 1 1.2 1 0
0.6 0.6 33 0 0 0 1 1 1.2 1 0
0.6 0.6 34.2 0 0 0 1 1 1.2 1 0
0.6 0.6 35.4 0 0 0 1 1 1.2 1 0
0.6 0.6 36.6 0 0 0 1 1 1.2 1 0
0.6 0.6 37.8 0 0 0 1 1 1.2 1 0
0.6 0.6 39 0 0 0 1 1 1.2 1 0
0.6 0.6 40.2 0 0 0 1 1 1.2 1 0
0.6 0.6 41.4 0 0 0 1 1 1.2 1 0
0.6 0.6 42.6 0 0 0 1 1 1.2 1 0
0.6 0.6 43.8 0 0 0 1 1 1.2 1 0
0.6 0.6 45 0 0 0 1 1 1.2 1 0
0.6 0.6 46.2 0 0 0 1 1 1.2 1 0
0.6 0.6 47.4 0 0 0 1 1 1.2 1 0
0.6 0.6 48.6 0 0 0 1 1 1.2 1 0
0.6 0.6 49.8 0 0 0 1 1 1.2 1 0
0.6 0.6 51 0 0 0 1 1 1.2 1 0
0.6 0.6 52.2 0 0 0 1 1 1.2 1 0
0.6 0.6 53.4 0 0 0 1 1 1.2 1 0
0.6 0.6 54.6 0 0 0 1 1 1.2 1 0
0.6 0.6 55.8 0 0 0 1 1 1.2 1 0
0.6 0.6 57 0 0 0 1 1 1.2 1 0
0.6 0.6 58.2 0 0 0 1 1 1.2 1 0
0.6 0.6 59.4 0 0 0 1 1 1.2 1 0
0.6 1.8 0.6 0 0 0 1 1 1.2 1 0
0.6 1.8 1.8 0 0 0 1 1 1.2 1 0
0.6 1.8 3 0 0 0 1 1 1.2 1 0
0.6 1.8 4.2 0 0 0 1 1 1.2 1 0
0.6 1.8 5.4 0 0 0 1 1 1.2 1 0
0.6 1.8 6.6 0 0 0 1 1 1.2 1 0
0.6 1.8 7.8 0 0 0 1 1 1.2 1 0
0.6 1.8 9 0 0 0 1 1 1.2 1 0
0.6 1.8 10.2 0 0 0 1 1 1.2 1 0
0.6 1.8 11.4 0 0 0 1 1 1.2 1 0
0.6 1.8 12.6 0 0 0 1 1 1.2 1 0
0.6 1.8 13.8 0 0 0 1 1 1.2 1 0
0.6 1.8 15 0 0 0 1 1 1.2 1 0
0.6 1.8 16.2 0 0 0 1 1 1.2 1 0
0.6 1.8 17.4 0 0 0 1 1 1.2 1 0
0.6 1.8 18.6 0 0 0 1 1 1.2 1 0
